sample,unityFrame,time,phase,x,y,scanX,scanY,originMismatch,maxAdjacentJump,maxAdjacentIndex,maxRayDelta,changedRays,bigChangedRays,indoorActive,surfaceActive,nextScanIn
163,447,14.24337,parallel,-37.7958,45.39865,-37.7958,45.39865,0,2.695962,91,2.713296,136,1,1,1,0.0666666
164,448,14.26965,parallel,-37.77731,45.40874,-37.7958,45.39865,0.02106188,2.695962,91,0,0,0,1,1,0.04037952
165,449,14.29216,parallel,-37.75882,45.41882,-37.7958,45.39865,0.04211858,2.695962,91,0,0,0,1,1,0.017869
166,450,14.31848,parallel,-37.74034,45.42891,-37.74034,45.42891,0,2.918492,92,2.968657,135,1,1,1,0.0666666
167,451,14.38651,parallel,-37.72185,45.43899,-37.72185,45.43899,0,2.883723,92,0.1829753,130,0,1,1,0.0666666
168,452,14.41911,parallel,-37.70336,45.44908,-37.72185,45.43899,0.02105853,2.883723,92,0,0,0,1,1,0.03407288
169,453,14.443,parallel,-37.68488,45.45916,-37.72185,45.43899,0.04211523,2.883723,92,0,0,0,1,1,0.01018047
170,454,14.46845,parallel,-37.66639,45.46925,-37.66639,45.46925,0,15.25438,178,15.08071,132,2,1,1,0.0666666
171,455,14.49161,parallel,-37.6479,45.47933,-37.66639,45.46925,0.0210567,15.25438,178,0,0,0,1,1,0.04350185
172,456,14.51291,parallel,-37.62941,45.48941,-37.66639,45.46925,0.04211523,15.25438,178,0,0,0,1,1,0.02219963
173,457,14.54202,parallel,-37.61092,45.4995,-37.61092,45.4995,0,3.156912,94,14.85394,133,2,1,1,0.0666666
174,458,14.58083,parallel,-37.59244,45.50958,-37.61092,45.4995,0.02105853,3.156912,94,0,0,0,1,1,0.02785683
175,459,14.60517,parallel,-37.57395,45.51966,-37.61092,45.4995,0.04211858,3.156912,94,0,0,0,1,1,0.003523827
176,460,14.62479,parallel,-37.55546,45.52975,-37.55546,45.52975,0,15.35927,177,15.21155,133,1,1,1,0.0666666
177,461,14.64583,parallel,-37.53698,45.53983,-37.55546,45.52975,0.0210567,15.35927,177,0,0,0,1,1,0.04561901
178,462,14.66468,parallel,-37.51849,45.54992,-37.55546,45.52975,0.04211858,15.35927,177,0,0,0,1,1,0.0267725
179,463,14.68501,parallel,-37.5,45.56,-37.5,45.56,0,2.988169,95,14.92716,135,2,1,1,0.0666666
